IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
11,04,ARR,20110041,,,,,11,04,ARR,20110041,,,11,04,02,5,45,PM,11,0,0,0,0,ALASKA,NENANA,404.50,02,38,3,1,049,R,235N,1,220,2,Y,MAIN,4,,1,ARR,000101,003,Y,,,000,,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,35000,0,M406,,0,2,0,2,M406,1,4,049,35000,,02C068,2,000000,0,1,1,1,0,09,30,09,30,1,8,,3L,,ALASKA,KM,312,,2011,0,2,0,0,0,0,DENALI,068,,,,Y,,,"ON APRIL 2, 2011 A NORTHBOUND ALASKA RAILROAD PASSENGER TRAIN CONSISTING OF 2 LOCOMOTIVES AND 3 PASS","ENGER CARS ( 2 PASSENGER COACHES, 1 BAGGAGE CAR) SUSTAINED A FIRE OF UNKNOWN ORIGIN TO A BAGGAGE CAR",. THE TRAIN WAS LOCATED AT OR NEAR M.P. 404.5 ON THE ALASKA DIVISION WHICH IS 7.2 MILES SOUTH OF NEN,"ANA, ALASKA,",,,,,,,,,,,,0,0,0,,,,,,
11,12,ARR,20110154,,,,,11,12,ARR,20110154,,,11,12,24,4,45,PM,12,1,1,0,0,,ANCHORAGE,114,02,15,2,2,015,E,433,2,0,6,Y,FREIGHT MAIN,1,,2,TCMX,350698,001,Y,,,000,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43000,0,H309,,0,0,0,0,H309,2,1,015,43000,,02C020,0,000000,0,1,0,1,1,02,45,02,45,1,8,,3L,,,,1499,,2011,0,0,0,0,0,0,ANCHORAGE,020,00,00,,N,OTH,,THE CREW WAS IN THE PROCESS OF SWITCHING OUT THE INBOUND INTERLINE MIXED FREIGHT THAT HAD ARRIVED FR,"OM WHITTIER, AND THEY WERE GOING TO BUILD THE 130N AND GET IT SET SO THAT IT COULD BE TESTED AND REA",DY TO GO NORTH SUNDAY NIGHT AS PER THE HOLIDAY PLAN. THEY HAD TWO SD70MAC''S (4322-4324) AND WERE SWI,TCHING A 32 CAR CUT THAT WAS ORIGINALLY INBOUND YARDED ON THE FREIGHT MAIN. CARS FOR WERE BEING TEMP,ORARILY SET TO THE WORK LEAD FOR FURTHER CLASSIFICATION AFTER THE FREIGHT WAS BUILT AND SET IN TRACK,1. THERE WAS ONE BAD ORDER IN THE CUT (TCMX 350698) WHICH WAS SET BACK TO THE FREIGHT MAIN (TO GO T,O THE CAR SHOP LATER). THE SECOND TO LAST CAR ON THEIR SWITCH LIST WAS THE SHPX 450607 WHICH WAS A L,OAD OF FLOUR AND WAS ALSO SET TO THE FREIGHT MAIN. NOTE: BOTH OF THE CARS SET TO THE FREIGHT MAIN WE,RE PROPERLY SECURED AND WERE NOT COUPLED TO EACH OTHER WHEN INITIALLY SET OVER. THE CREW PEDDLED THE,IR LAST CAR INTO TRACK 1 AND THEN WENT BACK TO THE FREIGHT MAIN TO GATHER UP TWO CARS LEFT THERE. TH,EY INTENDED TO SHOVE THEM DOWN THE FREIGHT MAIN AND INTO SERVICE TRACK 2 WHERE THEY WERE TO BE LEFT.,THE TCMX HOPPER ORIGINALLY SET OVER HAD BEEN THERE STATIONARY AT LEAST 30 MINUTES PRIOR TO COMMENCI,NG THIS MOVEMENT. AT THIS POINT STUDENT CONDUCTOR WAS POSITIONED TO THE SOUTH BY THE SERVICE TRACKS,TO LINE UP AND BE READY TO MAKE THE JOINT AND THEN ASSIST AS THEY PUT THE TWO MACS INTO SHED 4 TO BE,SHUT DOWN FOR THE HOLIDAY. BRAKEMAN WAS UP ON THE NORTH END BY THE TRACK 1 SWITCH TO BE READY WHEN,0,61.135642,-149.523916,2,5,,,,ALASKA
11,11,NS,096922,,,,,11,11,NS,096922,,,11,11,04,6,20,AM,01,0,0,0,0,,BIRMINGHAM,S268.9,29,34,1,1,005,R,224F,4,5110,1,Y,RANDOLPH NORTH TRACK,X,0000,4,FTTX,096126,004,Y,,,000,,2,0,0,0,0,0,0,0,0,0,12,0,1,0,0,3,0,0,0,0,10942,7671,T311,,0,0,0,0,T311,4,X,005,18613,,29C047,0,000000,0,1,0,1,1,06,,06,,1,6,,1L,,,,122,,2011,0,0,0,0,0,0,CLAY,047,,,,N,OTH,,"TRAIN 224 SETTING OUT IN RANDOLPH NORTH TRACK DERAILED 4TH, 5TH, AND 6TH HEAD CARS, LOADS, AT RANDOL",PH NORTH TRACK SWITCH.,,,,,,,,,,,,,,0,39.157103,-94.477293,2,5,K,,,ILLINOIS
11,11,CSX,000098049,,,,,11,11,CSX,000098049,,831330A,11,11,28,12,22,PM,07,0,0,0,0,,MONTGOMERY,0164.0,01,46,2,2,041,E,A746,2,0,8,Y,SINGLE MAIN,4,0067.0,1,CSXT,007928,001,N,,,000,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,15000,M302,,0,1,0,1,M302,1,4,041,15500,,01C101,1,000000,0,1,0,1,0,06,22,06,22,1,3,,1L,,,,220,,2011,0,0,0,0,0,1,MONTGOMERY,101,,,,N,CWR,,A74628 STRUCK A 1999 DODGE RAM PICKUP AT WARES FERRY RD CROSSING. VEHICLE OPERATOR WAS TRANSPORTED W,ITH UNKNOWN INJURIES. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES,& RR XING SYMBOLS).,,,,,,,,,,,,,0,32.409241,-86.160289,2,4,,,,AWP W OF A
11,12,EARY,DI110651,,,,,11,12,EARY,DI110651,,,11,12,16,10,15,PM,01,0,0,0,0,,SYLACAUGA,454.5,01,46,4,1,002,E,EAMG,1,7344,1,Y,OLDSIDING,1,51,2,SHPX,206381,050,Y,,,000,,4,0,0,0,0,0,0,0,0,0,55,0,5,0,0,5,0,0,0,0,9150,10500,H799,,0,0,0,0,H799,2,1,002,19650,,01C121,0,000000,0,1,0,1,1,03,15,03,15,1,3,,3S,,,,651,,2011,0,0,0,0,0,0,TALLADEGA,121,,,,N,OTH,,EARY CONDUCTOR NOTTICED THTA A SWIRCH TARGET SHOWED THAT IS WAS LINED AGAINST MOVEMENT AND WALKED OV,ER AND LINED IT. THE SWIRCH STAND HAD BEEN RUN INTO BY A CONTRACTOR AND BROKE THE FLAG AND WHEN THE,FLAG WAS PUT BACK ON IT WAS PUT ON IN THE WRONG DIRECTION. THE TRAINMAN SAID THAT HE HAD CHECKED THE,SWITCH POINTS TO SEE IF THERY WERE CLOSED AND WAS MISTAKEN OF THE DIRECTION OF THE POINTS.  LATER T,HE CREW PR0CEEDED TO SHOVE 10 CARS THROUGH THE SWITCH AND DUE A CLASS ONE AIR TEST ON THE TRAIN. WHE,N MAKING A REVERSE MOVE AFTER COMPLETING THE AIR TEST DERAILED FIVE RAILCARS. PRIMARY CAUSE: EMPLOYE,E LINED THE SWITCH AND DID NOT PROPERLY INSPECT IT.,,,,,,,,,0,33.167637,-86.308006,2,5,K,,,SYSTEM
11,08,SOO,227734,,,,,11,08,SOO,227734,,,11,08,18,4,3,AM,12,0,0,0,0,,LAKE BLUFF,33.3,17,62,4,1,016,R,280,4,260,1,Y,#1 MAIN,4,019.00,1,CP,355370,001,Y,,,000,,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,612,H210,H601,0,0,0,1,H210,1,4,016,17292,,17C097,1,000000,0,1,0,2,0,04,04,04,04,3,4,,1L,,,,599,,2011,0,1,0,0,0,0,LAKE,097,00,00,,N,CWR,,280-17 SET OUT 15 METRA ROCK ON RUNAROUND AT RONDOUT. CREW SHOVED BACK FROM RONDOUT WITH 2 UNITS & 2,"CARS TO COUPLE BACK TO TRAIN. CONDUCTOR GAVE COUNT OF ""10 CARS TO CROSSING, LIGHT & GATES ARE DOWN""",. THIS WAS THE LAST COMMUNICATION THAT ENGINEER HEARD. MOVEMENT CONTINUED UNTIL THEY STRUCK THEIR ST,"ANDING TRAIN. IMPACT MADE AT 16 MPH WHICH CAUSED NOKL 827066 (WHEAT) TO DERAIL, SPLIT OPEN & SPILL P",RODUCT. CONDUCTOR SUSTAINED INJURY WHEN HE DETRAINED PRIOR TO IMPACT. FIELD #12 C&M SUBDIVISION. FIE,"LD #30 TYPE OF TERRITORY 1. SIGNALED, 1. SIGNAL INDICATION, Z SHOVING  BACK TO TRAIN. FIELD #49 CWR",,,,,,,,,,0,42.295008,-87.900066,1,1,Z,,,C M SUBDIVISION
11,08,SOO,227734,,,,,11,08,SOO,227734,,,11,08,18,4,3,AM,12,9,0,0,0,,LAKE BLUFF,33.3,17,62,4,1,000,E,CUT,4,0,6,N,#1 MAIN,4,019.00,1,NOKL,082766,001,N,,,000,,0,0,0,0,0,0,0,0,0,0,55,0,29,0,0,1,0,0,0,0,16672,0,H210,H601,0,1,0,1,H210,1,4,016,17292,,17C097,0,000000,0,0,0,0,0,,,,,1,4,,1L,,,,599,,2011,0,0,0,0,0,0,LAKE,097,00,00,,N,CWR,,280-17 SET OUT 15 METRA ROCK ON RUNAROUND AT RONDOUT. CREW SHOVED BACK FROM RONDOUT WITH 2 UNITS & 2,"CARS TO COUPLE BACK TO TRAIN. CONDUCTOR GAVE COUNT OF ""10 CARS TO CROSSING, LIGHT & GATES ARE DOWN""",. THIS WAS THE LAST COMMUNICATION THAT ENGINEER HEARD. MOVEMENT CONTINUED UNTIL THEY STRUCK THEIR ST,"ANDING TRAIN. IMPACT MADE AT 16 MPH WHICH CAUSED NOKL 827066 (WHEAT) TO DERAIL, SPLIT OPEN & SPILL P",RODUCT. CONDUCTOR SUSTAINED INJURY WHEN HE DETRAINED PRIOR TO IMPACT. FIELD #12 C&M SUBDIVISION. FIE,"LD #30 TYPE OF TERRITORY 1. SIGNALED, 1. SIGNAL INDICATION, Z SHOVING  BACK TO TRAIN. FIELD #49 CWR",,,,,,,,,,0,42.295008,-87.900066,1,1,Z,,,C M SUBDIVISION
11,07,TPW,TPWID11347,,,,,11,07,TPW,TPWID11347,,,11,07,15,5,0,PM,01,5,1,1,0,,WATSEKA,14.2,17,85,2,1,022,R,TPME,3,9000,1,Y,MAIN,2,1.5,1,NATX,301967,074,Y,,,000,,3,0,0,0,0,0,0,0,0,0,69,0,5,0,0,1,0,0,0,0,88600,17910,T109,,0,0,0,0,T109,1,2,022,106510,,17C075,0,000000,0,1,0,1,0,07,,07,,1,4,,3L,,,,863,,2011,0,0,0,0,0,0,IROQUOIS,075,,,,N,CWR,,TRAIN OPERATING FROM EAST PEORIA TO REMINGTON WITH 74 CARS.  AT MP 14.2 THE ENGINEER SPOTTED A SMALL,SUNKINK ABOUT 5 CAR LINKS AHEAD.  HE THROTTLED DOWN KEEPING SOME AMPERAGE TO AVOID SEVERE SLACK ACT,ION.  AS THE CONDUCTOR WAS REPORTING THE MISALIGNMENT TO THE DISPATCHER THE TRAIN WENT INTO EMERGENC,Y.  THE INVESTIGATION FOUND THE REAR CAR NATX 301967 CONTAINING DENATURED ALCOHOL HAD DERAILED AND R,OLLED 180 DEGREES OVER ON ITS SIDE BETWEEN US 24 AND THE MAIN LINE.  A SMALL LEAK WAS DETECTED AND L,OCAL FIRE DEPARTMENTS PLACED A BUCKET UNDER THE TOP HATCH.  THE LEAK STOPPED AND NEVER BEGAN AGAIN.,RAILROAD OFFICIALS DISPATCHED TO THE SCENE ALONG WITH SWS ENVIRONMENTAL AND AMEC.  AFTER THE CAR WA,S TURNED UPRIGHT THE PRODUCT WAS TRANSLOADED TO TRUCK.  NO CONTAMINATION TO THE SOIL OR ENVIRONMENT,WAS FOUND.  THE STATE CLOSED US 24 UNTIL THE SCENE WAS CLEARED.,,,,,,,0,40.772,-87.779,2,4,,,,SYSTEM
11,05,CSX,000089038,11,05,NOPB,P0509211,11,05,CSX,000089038,,,11,05,09,9,50,PM,01,0,0,0,0,ATLANTA,NEW ORLEANS,0801.0,22,78,4,1,000,,,2,0,,,#2 MAIN,1,0030.3,1,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,H703,,0,0,0,0,H703,1,1,004,15843,,22C071,0,000000,0,0,0,0,0,,,,,1,5,,1L,,ATLANT,,928,,2011,0,0,0,0,0,0,ORLEANS,071,,,,N,,,NOPB RR TRAIN PB200 WAS DELIVERING THE KCS. THEY WERE INSTRUCTED TO COME OUT OF FRANCE YARD INTO THE,PAS TRACK. THE YARDMASTER INSTRUCTED THE INDUSTRIAL CANAL DRAWBRIDGE TENDER TO LINE SIGNALS UP FROM,FRANCE YARD INTO THE PAS TRACK. THE DRAWBRIDGE TENDER GAVE PB200 PERMISSION BY THE STOP SIGNAL IN A,CCORDANCE WITH OPERATING RULE 226-B AND INSTRUCTED THE CREW THAT HE WAS NOT GETTING AN INDICATION OF,HOW THE #3 SWITCH WAS LINED. THE BRIDGE TENDER FURTHER INSTRUCTED PB200 TO LINE THE #3 SWITCH FOR T,HEIR MOVEMENT. PB200 REPEATED THE INSTRUCTIONS BACK CORRECTLY. AS PB200 APPROACHED THE #3 SWITCH THE,Y CHECKED TO MAKE SURE THE SWITCH WAS LINED FOR THEIR MOVEMENT BUT NEVER TOOK THE SWITCH OFF OF MOTO,R. AFTER TRAVERSING THE #3 SWITCH IN A NORTHWARD DIRECTION PB200 REPORTED FEELING A BUMP FROM THE EN,"GINES. UPON INVESTIGATION, PB200 HAD PULLED 3 ENGINES AND 15 CARS OF A 102 CAR TRAIN OVER THE #3 SWI",TCH AND 5 CARS HAD DERAILED.,,,,,,,0,0,,,,,,
11,07,PW,110704,11,07,CSX,000091778,11,07,PW,110704,,,11,07,15,4,40,PM,01,0,0,0,0,,WORCESTER,42.70,25,82,2,1,000,,,1,0,,,"YARD, HILL NO.1",1,,2,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16218,H503,,0,0,0,0,H503,2,1,006,17627,,25C027,0,000000,0,0,0,0,0,,,,,1,1,,3L,,,,256,,2011,0,0,0,0,0,0,WORCESTER,027,,,,,OTH,,"CSX TRAIN Q423-15 WAS SHOVING OUT OF THE YARD (WORCESTER) WITH 32 LOADS, 92 EMPTIES, 3 LOCOMOTIVES I","NCLUDING 2 AC UNITS ON-LINE. ACCORDING TO CSX (REPORT NO R000091778), EXCESSIVE K FORCE RESULTED IN","THE DERAILMENT OF 4 (FOUR) CARS (POSITION 5, 6,7 AND 8).",,,,,,,,,,,,,,42.252714,-71.792502,2,5,,,,MAIN LINE
